,normalized,meaning
8214,доверенный,I. доверенный\n1. йыззхъарцIауадоверенное лицойыззхъарцIауа гIвы
8215,спрос,I. спрос\n1. йыззцIгIауа\n2. йыртахъуспрос и предложениеатахъыри агIаргылри
8220,очередной,очередной\n1. йызкьазу́уйызкьазуу сменаочередная сменаI. очередной\n1. йызкьазууочередной пленумйызкьазуу пленумочередной съездйызкьазуу съездочередные задачи партииапартия йызкьазуу ахачIвква
8221,злободневный,I. злободневный\n1. йхъаду\n2. рыцIа магIны зму\n3. йызкьазуу\n4. йзагIузлободневный вопросрыцIа мгIан ду зму уыс
8224,довыборы,I. довыборы\n1. йызлабжу алхраква\n2. йызланархъахауа алхраквадовыборы народных депутатовйзланамхъауа аугIа рдепутатква ралхраква
8228,структура,I. структура\n1. алаща\n2. йызлалу\n3. а также и аффиксом -щаструктура обществаажвлара злалуструктура языкаабызшва алаща
8234,повышенный,I. повышенный\n1. хIаракIы\n2. хIагIа\n3. йызлархIуповышенные социалистические обязательствайхIаракIу асоциалист хачIвборчква
8235,истина,I. истина\n1. цIабыргы\n2. йшаъадзу\n3. йызлаъадзу\n4. уызгIвымсхыз
8237,множимое,множимое\n1. йызры́схауа
8240,защитный,I. защитный\n1. йызхчауазащитные лесные полосыахчага бначвахIваква
8241,образцовый,образцовый\n1. швапха́I. образцовый\n1. йызхъапшылуа\n2. йызшIпшуа\n3. швапха гIазхъыркIгIауаобразцовая школашвапха гIазхъыркIгIауа апхьартаобразцовое хозяйствошвапха гIазхъыркIгIауа млыкврхIарта
8242,подопечный,I. подопечный\n1. йызхъпшылуаподопечное лицойызхъпшылуа гIвычIвгIвысподопечные территориийызхъпшылуа аштаква
8244,подшефный,I. подшефный\n1. шеф зму *(заимствовано из русского)\n2. йызцхърагIауаподшефная школайызцхърагIауа апхьартаподшефный детский домйызцхърагIауа саби тдзы
8247,распределитель,распределитель\n1. йызшауа́
8248,распределительный,распределительный\n1. йызшауа́йызшауа приборраспределительный прибор
8256,безубыточный,I. безубыточный\n1. йылдзгIарадубезубыточное предприятиейылдзгIараду нхарта
8258,неожиданно,неожиданно\n1. бальары́гъта\n2. йымды́рдзакIвайсымдырдзакIва саща дгIайтIнежданно-негаданно приехал мой брат\n3. мды́рдзакIва
8261,несовершенный,несовершенный\n1. йымхъа́йсйымхъайс квпшыраграм. несовершенный вид
8262,фиктивный,I. фиктивный\n1. йтамамым\n2. йымцу\n3. йымцкIу\n4. мцкIыфиктивный документа) йымцкIу швъаб) швъа мцкIы
8264,бесстрашный,бесстрашный\n1. йымшвауа́ашвагIвы йабджьар йымшвауа йчIвыпIпосл. оружие труса достаётся храброму
8265,евангелие,I. евангелие\n1. йынджьыль
8266,евангелисты,I. евангелисты\n1. йынджьыль йадгылакву
8268,быль,"быль\n1. йынша́зари гьлокIым, йыншаз уыспIэто не сказка, а быль"
8273,покупательский,I. покупательский\n1. йырзыхвгIауапокупательский спросаугIа йырзыхвгIауа
8277,запрещенный,запрещенный\n1. хIара́м [запрещенный  (о пище)]I. запрещенный\n1. йырхвитым\n2. ъизин змамзапрещенная литератураа) уызхвитым литератураб) йырхвитым литература
8279,реальность,I. реальность\n1. кьангьашра аламызлара\n2. йырхъйахушреальность планайшырхъйахушла кьангьашра злам план
8282,реконструкция,I. реконструкция\n1. йыршIыцхауата йпсахрареконструкция промышленностиапромышленность ршIыцхауата йпсахрареконструкция народного хозяйствааугIа рымлыкврхIара йыршIыцхауата йпсахра
8284,заживать,"заживать\n1. йра́ [заживать  (о ране)]ахвырта йыхтIрана зажилаахIва йахвыз йыхитIта, ажва чвгьа йахвыз гьйыхуампосл. раненное саблей заживает, а раненное злым словом не заживает\n2. йы́храахIва йахвыз йыхитIта, ажва чвгьа йахвыз гьйыхуампосл. раненное саблей заживает, а раненное злым языком не заживает"
8289,кабачок,кабачок\n1. кабачо́к *(заимствовано из русского) бот.кабачок\n1. мкъвыбаCucurbita pepo var. giraumontia Duchartre.
8290,кабачковый,кабачковый\n1. кабачо́к *(заимствовано из русского) бот.кабачок икракабачковая икра
8291,кабель,кабель\n1. ка́бель *(заимствовано из русского) тех.телефон кабельтелефонный кабель
8292,кабельный,кабельный\n1. ка́бель *(заимствовано из русского) тех.кабель заводкабельный завод
8293,кабина,кабина\n1. каби́на *(заимствовано из русского)алётчик йкабинакабина лётчикаалхраква ркабинакабина для голосования
8294,кабинет,кабинет\n1. кабине́т *(заимствовано из русского)адиректор йкабинеткабинет директорааминистрква ркабинеткабинет министровI. кабинет\n1. кабинет *(заимствовано из русского)кабинет политического просвещенияполитика апхьара акабинеткабинет директораадиректор йкабинет
8295,кабинетный,кабинетный\n1. кабине́т *(заимствовано из русского)I. кабинетный\n1. кабинет *(заимствовано из русского)кабинетное руководствокабинет унашвачпара
8297,кавалер,кавалер\n1. кавале́р *(заимствовано из русского)«Золотая звезда» акавалеркавалер «Золотой Звезды»I. кавалер\n1. кавалер *(заимствовано из русского)кавалер орденов и медалейаорденкви амедалькви ркавалер
8299,кавалерист,"кавалерист\n1. кавалери́ст *(заимствовано из русского)\n2. тшы́гIватшыгIв йымгIвайсуа квсага гIайыквылхитIпосл. с проезжего всадника она снимает выкройку (об опытной, умелой закройщице)"
8301,кавалерийский,кавалерийский\n1. кавале́рия *(заимствовано из русского)кавалерия полккавалерийский полк
8303,кавычки,кавычки\n1. кавы́чка *(заимствовано из русского)ажва акавычкаква йыртакIравзять слово в кавычки
8304,кадровый,I. кадровый\n1. кадр *(заимствовано из русского)кадровая армиякадр рыкадровая политикакадр политикакадровый рабочийкадр рабоча
8306,казарма,казарма\n1. каза́рма *(заимствовано из русского)
8307,казарменный,казарменный\n1. каза́рма *(заимствовано из русского)казарма хабзаказарменный режимI. казарменный:казарменный коммунизмказарма коммунизм
8308,казах,казах\n1. каза́х *(заимствовано из русского)казах хъацIаказахказах пхIвысказашка
8309,казахский,казахский\n1. каза́х *(заимствовано из русского)казах рхъакваказахские степиказах бызшваказахский языкI. казахский\n1. къазах *(заимствовано из русского)казахский языккъазах бызшва
8310,казначей,казначей\n1. казначе́й *(заимствовано из русского)
8311,казначейский,казначейский\n1. казначе́й *(заимствовано из русского)
8313,кактусовый,кактусовый\n1. ка́ктус *(заимствовано из русского)
8314,календарь,календарь\n1. календа́рь *(заимствовано из русского)астол йыквырцIауа календарьнастольный календарьI. календарь\n1. календарь *(заимствовано из русского)
8315,календарный,календарный\n1. календа́рь *(заимствовано из русского)календарь планкалендарный планI. календарный\n1. календарь *(заимствовано из русского)календарный годкалендарь сквшыкалендарный планкалендарь планкалендарные срокиакалендарь пIатлаква
8317,калибр,калибр\n1. кали́бр *(заимствовано из русского)калибр дукрупнокалиберныйкалибр хвыцмалокалиберныйзкалибр апшымразнокалиберный
8318,калий,калий\n1. ка́лий *(заимствовано из русского) хим.
8319,калийный,калийный\n1. ка́лий *(заимствовано из русского) хим.калий джьыкIакалийная солькалий адгьылрбайагакалийное удобрение
8320,калькулятор,калькулятор\n1. калькуля́тор *(заимствовано из русского)ачарта акалькуляторкалькулятор столовой
8321,калькуляция,"калькуляция\n1. калькуля́ция *(заимствовано из русского)калькуляция алацIаракалькулировать, составлять (составить) калькуляцию"
8322,кальций,кальций\n1. ка́льций *(заимствовано из русского) хим.
8323,кальциевый,кальциевый\n1. ка́льций *(заимствовано из русского) хим.
8324,камбоджийский,I. камбоджийский\n1. камбоджа *(заимствовано из русского)камбоджийский народКамбоджа угIа
8326,камера,камера\n1. ка́мера *(заимствовано из русского)хIапса камератюремная камерафутбол камерафутбольная камерахIапчып хчарта камеракамера храненияI. камера\n1. камера *(заимствовано из русского)камера предварительного заключенияахIаквым рханацIыкIьара йзтаркIуа камеракамера храненияхIапчыпхчарта камера
8329,кампучийский,I. кампучийский\n1. кампучи *(заимствовано из русского)кампучийский народкампучи угIа
8331,книжка,книжка\n1. камса́ [книжка  (отдел желудка жвачных животных)]\n2. кни́жка *(заимствовано из русского)член книжкачленская книжка
8332,камчадальский,I. камчадальский\n1. камчадал *(заимствовано из русского)камчадальский языккамчадал бызшва
8333,канадский,I. канадский\n1. канада *(заимствовано из русского)канадский народканада угIа
8335,канализация,канализация\n1. канализа́ция *(заимствовано из русского)къала канализациягородская канализация
8336,канализационный,канализационный\n1. канализа́ция *(заимствовано из русского)канализация трубакваканализационные трубы
8337,кандидат,кандидат\n1. кандида́т *(заимствовано из русского)адепутатра акандидаткандидат в депутатыфилология наукаква ркандидаткандидат филологических наукI. кандидат\n1. кандидат *(заимствовано из русского)кандидат в депутатыадепутатра акандидаткандидат в члены партииапартия ачленра акандидаткандидат наукадырраква ркандидат
8338,кандидатский,кандидатский\n1. кандида́т *(заимствовано из русского)кандидат диссертациякандидатская диссертацияI. кандидатский\n1. кандидат *(заимствовано из русского)кандидатская карточкакандидат карточкакандидатский стажкандидат стаж
8340,кандидатура,кандидатура\n1. кандидату́ра *(заимствовано из русского)заджв йкандидатура гIаргылравыдвинуть чью-либо кандидатуруI. кандидатура\n1. кандидатура *(заимствовано из русского)выставить чью-либо кандидатурузаджвы йкандидатура гIаргылра
8342,каникулы,каникулы\n1. кани́кул *(заимствовано из русского)пхын каникуллетние каникулыI. каникулы\n1. каникул *(заимствовано из русского)\n2. тшпсщараканикулы школьниковапхьагIвчва ртшпсщара
8343,каникулярный,каникулярный\n1. кани́кул *(заимствовано из русского)каникул заманканикулярное время
8345,каннибализм,I. каннибализм\n1. каннибализм *(заимствовано из русского)
8346,канцелярия,канцелярия\n1. канцеля́рия *(заимствовано из русского)I. канцелярия\n1. канцелярия *(заимствовано из русского)
8347,канцелярский,канцелярский\n1. канцеля́рия *(заимствовано из русского)канцелярия ъамапсымакваканцелярские товары
8349,канцелярщина,I. канцелярщина\n1. канцелярщина *(заимствовано из русского)бездушная канцелярщинагвыцхIара змам канцелярщина
8350,канцлер,I. канцлер\n1. канцлер *(заимствовано из русского)
8351,капитал,капитал\n1. капита́л *(заимствовано из русского)банк капиталбанковый капиталкапитал къральквастраны капиталаI. капитал\n1. капитал *(заимствовано из русского)\n2. млыкв
8353,капитализм,капитализм\n1. капитали́зм *(заимствовано из русского)I. капитализм\n1. капитализм *(заимствовано из русского)капитализм – поработитель колониальных народовкапитализм аколония угIаква йыррычIгIвыныгIвпI
8354,капиталистический,капиталистический\n1. капитали́зм *(заимствовано из русского)капитализм лагерькапиталистический лагерьI. капиталистический\n1. капиталист *(заимствовано из русского)\n2. капитализм *(заимствовано из русского)капиталистическая конкуренциякапитализм анкъвакьвра (конкуренция)капиталистическая моралькапитализм ъадабкапиталистическая промышленностькапитализм промышленностькапиталистическая экономикакапитализм экономикакапиталистическая эксплуатациякапитализм чIгIвынракапиталистические кризисыакапитализм кризисквакапиталистические производственные отношенияакапитализм рхарджьра азазыъащаквакапиталистические страныакапитализм къральквакапиталистический базискапитализм базискапиталистический путь развитиякапитализм мгIвала паракапиталистический способ производствакапиталист рхарджьщакапиталистическое государствокапиталист къральыгIвакапиталистическое хозяйствокапиталист млыкврхIара
8356,докапиталистический,I. докапиталистический\n1. капитализм апхъала *(заимствовано из русского)докапиталистическое обществокапитализм апхъала ажвлара
8357,некапиталистический,I. некапиталистический\n1. капитализм мгIва йыквым *(заимствовано из русского)\n2. капитализм йалам *(заимствовано из русского)некапиталистический путь развитиякапитализм мгIва йыквым атшауацIыхра
8358,аитикапиталистический,I. аитикапиталистический\n1. капитализм йапшIагылуа *(заимствовано из русского)антикапиталистические преобразованиякапитализм йапшIагылуа апсахраква
8360,капиталист,капиталист\n1. капитали́ст *(заимствовано из русского)I. капиталист\n1. капиталист *(заимствовано из русского)
8363,капитальный,капитальный\n1. капита́льна *(заимствовано из русского)капитальна рчIаджьракапитальный ремонтI. капитальный\n1. капитал *(заимствовано из русского)капитальное строительствокапитал уыхваракапитальный ремонткапитал рчIаджьра (ремонт)
8364,капитан,капитан\n1. капита́н *(заимствовано из русского)адзыгъба акапитанкапитан корабляафутбол гвып ркапитанкапитан футбольной команды
8365,капитанский,капитанский\n1. капита́н *(заимствовано из русского)капитан цхIакапитанский мостик
8367,капитулянтский,I. капитулянтский\n1. капитуляция *(заимствовано из русского)капитулянтская политикакапитуляция политика
8368,капрон,капрон\n1. капро́н *(заимствовано из русского)
8369,капроновый,капроновый\n1. капро́н *(заимствовано из русского)капрон тлападкапроновые чулкикапрон рахъвакапроновая нить
8370,карабин,карабин\n1. караби́н *(заимствовано из русского)
8371,караимский,I. караимский\n1. караим *(заимствовано из русского)караимский языккараим бызшва
8372,каракалпак,каракалпак\n1. каракалпа́к *(заимствовано из русского)каракалпак хъацIакаракалпаккаракалпак пхIвыскаракалпачка
8373,каракалпакский,каракалпакский\n1. каракалпа́к *(заимствовано из русского)каракалпак бызшвакаракалпакский языкI. каракалпакский\n1. къаракъалпаккаракалпакский языккъаракъалпак бызшва
8374,карамель,карамель\n1. караме́ль *(заимствовано из русского)
8375,карамельный,карамельный\n1. караме́ль *(заимствовано из русского)карамель цехкарамельный цех
8376,карантин,карантин\n1. каранти́н *(заимствовано из русского)I. карантин\n1. карантин *(заимствовано из русского)
8377,карантинный,карантинный\n1. каранти́н *(заимствовано из русского)карантин пIатлакарантинный срокI. карантинный\n1. карантин *(заимствовано из русского)карантинный сроккарантин пIатлакарантинный пункткарантин пункт
8379,каратель,I. каратель\n1. каратель *(заимствовано из русского)
8380,карельский,карельский\n1. каре́ль *(заимствовано из русского)I. карельский\n1. карел *(заимствовано из русского)карельское искусствокарел искусства
8381,карел,карел\n1. каре́ль *(заимствовано из русского)карель хъацIакарелкарель пхIвыскарелка
8383,карикатура,карикатура\n1. карикату́ра *(заимствовано из русского)
8384,карикатурный,карикатурный\n1. карикату́ра *(заимствовано из русского)
8385,карнавал,карнавал\n1. карнава́л *(заимствовано из русского)
8386,карнавальный,карнавальный\n1. карнава́л *(заимствовано из русского)карнавал ъахвтанкарнавальный костюм
8387,карп,карп\n1. ка́рп *(заимствовано из русского)
8388,карта,карта\n1. ка́рта *(заимствовано из русского)Кавказ акартакарта КавказаСовет Союз аполитика картаполитическая карта Советского СоюзаI. карта\n1. карта *(заимствовано из русского)карта ЕвропыЕвропа акарта
8390,картвельский,I. картвельский\n1. картвел *(заимствовано из русского)картвельские языкиакартвел бызшваква
8391,картель,I. картель\n1. картель *(заимствовано из русского)
8392,картон,картон\n1. карто́н *(заимствовано из русского)
8393,картонный,картонный\n1. карто́н *(заимствовано из русского)картон фабрикакартонная фабрика
8394,картотека,картотека\n1. картоте́ка *(заимствовано из русского)институт акартотекакартотека института
8395,картотечный,картотечный\n1. картоте́ка *(заимствовано из русского)картотека айщчыкькартотечный ящик
8396,карточка,карточка\n1. ка́рточка *(заимствовано из русского)сурат карточкафотографическая карточкаажваква акарточкаква йрынцIаравыписать слова на карточки
8397,карточный,карточный\n1. ка́рточка *(заимствовано из русского)карточка системакарточная система
8398,карьера,I. карьера\n1. карьера *(заимствовано из русского)
8399,карьеризм,I. карьеризм\n1. карьеризм *(заимствовано из русского)
8400,карьеристический,I. карьеристический и карьеристский\n1. карьерист *(заимствовано из русского)\n2. карьеризм *(заимствовано из русского)карьеристский планкарьерист планкарьеристские расчетыакарьерист гвыгъараква (хIайсапква)
8401,каска,каска\n1. ка́ска *(заимствовано из русского)
8402,касса,касса\n1. ка́сса *(заимствовано из русского)билет тйырта кассабилетная кассаахча къачIвахырта кассасберегательная кассаI. касса\n1. касса *(заимствовано из русского)касса взаимопомощиацацхърагIага кассакасса предварительной продажи билетовабилетква пасата йъартиуа касса
8404,кассация,кассация\n1. касса́ция *(заимствовано из русского) юр.I. кассация\n1. кассация *(заимствовано из русского)\n2. тхIаусыхара\n3. хабзамкIва йпхьадзаракассация выборовалхраква ркассация (алхраква хабзамкIва йпхьадзара)подать кассациюкассация атра
8405,кассационный,кассационный\n1. касса́ция *(заимствовано из русского) юр.кассация тхIаусыхаракассационная жалобаI. кассационный\n1. кассация *(заимствовано из русского)кассационная жалобакассация тхIаусыхара
8407,кассир,кассир\n1. касси́р *(заимствовано из русского)агосбанк акассиркассир госбанка
8408,каста,каста\n1. ка́ста *(заимствовано из русского)I. каста\n1. каста *(заимствовано из русского)
8409,кастовый,кастовый\n1. ка́ста *(заимствовано из русского)каста тынхаражвквакастовые пережитки
8411,кастрюля,кастрюля\n1. кастру́ль *(заимствовано из русского)гIва каструльмедная кастрюля
8412,каталог,каталог\n1. ката́лог *(заимствовано из русского)
8413,категория,I. категория\n1. категория *(заимствовано из русского)категория времениазаман акатегрриякатегория причинностиашвхIаусыгIвара акатегория
8414,катер,катер\n1. ка́тер *(заимствовано из русского)тенгьыз катерморской катердзыгIв катерречной катер
8415,катет,катет\n1. ка́тет *(заимствовано из русского)
8416,катод,катод\n1. като́д *(заимствовано из русского) физ.
8417,катодный,катодный\n1. като́д *(заимствовано из русского) физ.
8418,католик,I. католик\n1. католик *(заимствовано из русского)
8419,католицизм,I. католицизм\n1. католицизм *(заимствовано из русского)
8420,каторга,каторга\n1. ка́торга *(заимствовано из русского)каторга дгарасослать на каторгуI. каторга\n1. каторга *(заимствовано из русского)
8421,каторжный,каторжный\n1. ка́торга *(заимствовано из русского)акаторга нхараквакаторжные работыI. каторжный\n1. каторга *(заимствовано из русского)каторжная тюрьмакаторга тутанакътаракаторжный трудкаторга нхара
8423,каучук,каучук\n1. каучу́к *(заимствовано из русского)
8424,каучуковый,каучуковый\n1. каучу́к *(заимствовано из русского)каучук цIщыкаучуковая подошва
8425,кафе,кафе\n1. кафе́ *(заимствовано из русского)\n2. ча́рта
8426,кафедра,кафедра\n1. ка́федра *(заимствовано из русского)аистория акафедракафедра историиакафедрала лекция гIапхьарачитать лекцию с кафедры
8427,кахетинский,I. кахетинский\n1. кахет *(заимствовано из русского)кахетинское винокахет чагIыр
8431,шататься,шататься\n1. гIацIсра́апыц гIацIсытIзуб расшатался\n2. кацара́\n3. нана́г-гIанагра\n4. наны́къва-гIаныкъвара [шататься  без цели]\n5. цIсра́спыц цIситIу меня зуб шатается
8433,кочан,кочан\n1. кача́на *(заимствовано из русского)кIамбыста качанакочан капустынартыхв качанакукурузный початок
8434,кочанный,кочанный\n1. кача́на *(заимствовано из русского)
8436,шалить,шалить\n1. качкIра́\n2. маджьа́нрауыммаджьанхан!не балуйся!\n3. цIа́йхара
8437,шалость,шалость\n1. качкIра́\n2. маджьа́нра\n3. уагIвырсы́зра
8438,шаловливый,шаловливый\n1. качкIы́\n2. кIьейпIе́йсаби кIьейпIейшаловливый (озорной) ребёнок\n3. маджьа́нчкIвын маджьанозорной мальчик\n4. уагIвырсы́з\n5. чвгьахъша́\n6. чвкIе́йсаби чвкIейозорной ребёнок
8439,кашмирский,I. кашмирский\n1. Кашмир *(заимствовано из русского)кашмирский народкашмпр угIа
8441,каштановый,"каштановый\n1. кашта́н *(заимствовано из русского)каштан аллеякаштановая аллеякаштан цIлакаштановое дерево, каштан"
8443,каюта,каюта\n1. каю́та *(заимствовано из русского)
8444,каютный,каютный\n1. каю́та *(заимствовано из русского)
8445,квадрат,квадрат\n1. квадра́т *(заимствовано из русского)апхьадзара аквадрат йазырцаравозвести число в квадрат
8446,квартал,"квартал\n1. кварта́л *(заимствовано из русского)акъала акварталквартал городайапхъахауа аквартал апланплан на первый квартал\n2. кIьады́гв [квартал  (в городе, в деревне)]\n3. хIа́бльа [квартал  (села, города)]"
8447,квартальный,квартальный\n1. кварта́л *(заимствовано из русского)квартал отчётквартальный отчётI. квартальный\n1. квартал *(заимствовано из русского)квартальный планквартал планквартальный отчетквартал отчет
8449,поквартальный,I. поквартальный\n1. кварталипхьадза *(заимствовано из русского)поквартальные планыкварталипхьадза йлырхуа апланквапоквартальный отчеткварталипхьадза йырчпауа отчет
8450,кварц,кварц\n1. ква́рц *(заимствовано из русского) мин.
8451,кварцевый,кварцевый\n1. ква́рц *(заимствовано из русского) мин.кварц джькIакварцевая соль
8452,квас,квас\n1. ква́с *(заимствовано из русского)чIахъва квасхлебный квас
8453,квитанция,квитанция\n1. квита́нция *(заимствовано из русского)квитанция гIвравыписать квитанцию
8454,кворум,кворум\n1. кво́рум *(заимствовано из русского)I. кворум\n1. кворум *(заимствовано из русского)
8456,квота,I. квота\n1. квота *(заимствовано из русского)
8457,пень,"пень\n1. кды́акыд кIынхIара, рчваква рхъыхта, уаса зыкь гIакIылпIлитIзагадка из дуплистого пня высыпается тысяча овец со снятыми шкуркамиотгадка ахърыгIвги ахъвдзи просорушка и пшено\n2. уакъвы́с [пень  гнилой]"
8458,пнистый,пнистый\n1. кды́гIвацабна кдыгIвацапнистый лес
8459,кельтский,I. кельтский\n1. кельт *(заимствовано из русского)кельтский языккельт бызшва
8460,кемпинг,I. кемпинг\n1. кемпинг *(заимствовано из русского)
8461,кенаф,кенаф\n1. кена́ф *(заимствовано из русского) бот.кенаф\n1. кьенафHibiscus cannabinus L.\n2. кIанап Уапшы кIьенафHibiscus cannabinus S L.
8462,кенгуру,кенгуру\n1. кенгуру́ *(заимствовано из русского)
8463,кенийский,I. кенийский\n1. кения *(заимствовано из русского)кенийский народкения угIа
8465,кепка,кепка\n1. ке́пка *(заимствовано из русского)кепка нкъвгараносить кепку
8466,керамика,керамика\n1. кера́мика *(заимствовано из русского)
8467,керамический,керамический\n1. кера́мика *(заимствовано из русского)керамика гIыцIщтракерамическое производство
8468,керосинка,керосинка\n1. кероси́нка *(заимствовано из русского)
8469,кефир,"кефир\n1. кефи́р *(заимствовано из русского)\n2. хырчIвы́хырчIвы ахIвара йцаз акIвпIи йдзахтIпосл. пришёл просить кислое молоко, а чашку свою спрятал"
8470,кибернетика,I. кибернетика\n1. кибернетика *(заимствовано из русского)
8471,киловатт,киловатт\n1. килова́тт *(заимствовано из русского)
8472,килограмм,килограмм\n1. килогра́мм *(заимствовано из русского)\n2. кIьы́л
8473,килограммовый,килограммовый\n1. килогра́мм *(заимствовано из русского)килограмм гьиракилограммовая гиря\n2. кIьы́лкIьыл гьиракилограммовая гиря
8474,километр,километр\n1. киломе́тр *(заимствовано из русского)
8475,километровый,километровый\n1. киломе́тр *(заимствовано из русского)километр столбкилометровый столб
8476,килька,килька\n1. ки́лька *(заимствовано из русского)
8477,кинематография,кинематография\n1. кинематогра́фия *(заимствовано из русского)I. кинематография\n1. кинематография *(заимствовано из русского)
8478,кинематографический,кинематографический\n1. кинематогра́фия *(заимствовано из русского)
8480,кино,кино\n1. кино́ *(заимствовано из русского)кино апшрасмотреть киноI. кино\n1. кино *(заимствовано из русского)
8482,киноактёр,киноактёр\n1. киноактё́р *(заимствовано из русского)
8483,киноактриса,киноактриса\n1. киноактри́са *(заимствовано из русского)
8484,киноаппарат,киноаппарат\n1. киноаппара́т *(заимствовано из русского)
8485,киножурнал,киножурнал\n1. киножурна́л *(заимствовано из русского)
8486,киноискусство,I. киноискусство\n1. киноискусства *(заимствовано из русского)
8487,кинокампания,I. кинокампания\n1. кинокампания *(заимствовано из русского)
8488,кинокартина,кинокартина\n1. кинокарти́на *(заимствовано из русского)
8489,кинофикация,кинофикация\n1. кинофика́ция *(заимствовано из русского)I. кинофикация\n1. кинофикация *(заимствовано из русского)\n2. кинола адгалра *(заимствовано из русского)
8490,киномеханик,киномеханик\n1. киномеха́ник *(заимствовано из русского)
8491,кинооператор,кинооператор\n1. киноопера́тор *(заимствовано из русского)
8492,кинорежиссёр,кинорежиссёр\n1. кинорежиссё́р *(заимствовано из русского)
8493,киносеанс,киносеанс\n1. киносеа́нс *(заимствовано из русского)
8494,киностудия,киностудия\n1. киносту́дия *(заимствовано из русского)
8495,кинотеатр,кинотеатр\n1. кинотеа́тр *(заимствовано из русского)
8496,кинофестиваль,кинофестиваль\n1. кинофестива́ль *(заимствовано из русского)I. кинофестиваль\n1. кинофестиваль *(заимствовано из русского)
8500,кинофильм,кинофильм\n1. кинофи́льм *(заимствовано из русского)кинофильм гIарбарадемонстрировать кинофильмашвъаквала йшаквыргылу акинофильмдокументальный кинофильмагвацчпа кинофильмхудожественный кинофильмI. кинофильм\n1. кинофильм *(заимствовано из русского)
8502,кинохроника,кинохроника\n1. кинохро́ника *(заимствовано из русского)
8503,киоск,киоск\n1. кио́ск *(заимствовано из русского)газет тйырта киоскгазетный киоск
8504,кипарис,кипарис\n1. кипари́с *(заимствовано из русского)кипарис\n1. кипарис *(заимствовано из русского)Cupressum Tourn.
8505,кипарисовый,кипарисовый\n1. кипари́с *(заимствовано из русского)кипарис бнакипарисовая роща
8507,кисель,кисель\n1. кисе́ль *(заимствовано из русского)
8508,кисельный,кисельный\n1. кисе́ль *(заимствовано из русского)
8509,кислород,кислород\n1. кислоро́д *(заимствовано из русского) хим.
8510,кислородный,кислородный\n1. кислоро́д *(заимствовано из русского) хим.кислород хъчыкислородная подушка
8511,кислота,кислота\n1. кислота́ *(заимствовано из русского) хим.\n2. чIвкъьа́ра [кислота  (на вкус)]
8512,кислотный,кислотный\n1. кислота́ *(заимствовано из русского) хим.кислота алацIаквакислотные соединения
8513,китай,китай\n1. кита́й *(заимствовано из русского) [китай  (К прописное)]китай
8514,китайский,китайский\n1. кита́й *(заимствовано из русского)китай бызшвакитайский языкI. китайский\n1. китай *(заимствовано из русского)китайский языккитай бызшва
